table_name,ordinal_position,column_name,data_type,is_nullable,column_default
ai_lessons,1,id,uuid,NO,gen_random_uuid()
ai_lessons,2,user_id,uuid,YES,null
ai_lessons,3,image_url,text,NO,null
ai_lessons,4,ai_caption,text,YES,null
ai_lessons,5,created_at,timestamp with time zone,NO,now()
ai_lessons,6,title,character varying,YES,'Beginner Lesson'::character varying
ai_lessons,7,description,text,YES,null
ai_lessons,8,completed_at,timestamp with time zone,YES,null
ai_lessons,9,title_ko,character varying,YES,null
ai_lessons,10,title_en,character varying,YES,null
ai_lessons,11,description_ko,text,YES,null
ai_lessons,12,description_en,text,YES,null
ai_lessons,13,title_tl,character varying,YES,null
ai_lessons,14,description_tl,text,YES,null
ai_quiz_questions,1,id,uuid,NO,gen_random_uuid()
ai_quiz_questions,2,quiz_id,uuid,NO,null
ai_quiz_questions,3,type,text,NO,null
ai_quiz_questions,4,question_text,text,NO,null
ai_quiz_questions,5,options,jsonb,NO,null
ai_quiz_questions,6,correct_answer,text,NO,null
ai_quiz_questions,7,created_at,timestamp with time zone,NO,now()
ai_quizzes,1,id,uuid,NO,gen_random_uuid()
ai_quizzes,2,lesson_id,uuid,NO,null
ai_quizzes,3,created_at,timestamp with time zone,NO,now()
ai_review_items,1,id,uuid,NO,gen_random_uuid()
ai_review_items,2,user_id,uuid,NO,null
ai_review_items,3,vocabulary_id,uuid,NO,null
ai_review_items,4,srs_stage,integer,NO,1
ai_review_items,5,next_review_at,timestamp with time zone,NO,null
ai_review_items,6,last_reviewed_at,timestamp with time zone,YES,null
ai_review_items,7,review_count,integer,NO,0
ai_review_items,8,wrong_count,integer,NO,0
ai_review_items,9,created_at,timestamp with time zone,NO,now()
ai_user_progress,1,user_id,uuid,NO,null
ai_user_progress,2,current_streak,integer,NO,0
ai_user_progress,3,last_study_at,timestamp with time zone,YES,null
ai_user_progress,4,total_learned_count,integer,NO,0
ai_user_progress,5,updated_at,timestamp with time zone,NO,now()
favorite_words,1,id,uuid,NO,gen_random_uuid()
favorite_words,2,user_id,uuid,NO,null
favorite_words,3,word_id,uuid,NO,null
favorite_words,4,created_at,timestamp with time zone,YES,now()
study_logs,1,id,uuid,NO,gen_random_uuid()
study_logs,2,user_id,uuid,NO,null
study_logs,3,couple_id,character varying,YES,null
study_logs,4,local_date,character varying,NO,null
study_logs,5,xp_gained,integer,YES,20
study_logs,6,concept_ids,jsonb,YES,'[]'::jsonb
study_logs,7,completed_at,timestamp with time zone,YES,now()
study_logs,8,created_at,timestamp with time zone,YES,now()
study_vocabularies,1,id,uuid,NO,gen_random_uuid()
study_vocabularies,2,lesson_id,uuid,YES,null
study_vocabularies,3,concept_code,character varying,NO,null
study_vocabularies,4,category,character varying,NO,'daily'::character varying
study_vocabularies,5,difficulty_level,character varying,NO,'A1'::character varying
study_vocabularies,7,word_en,text,YES,null
study_vocabularies,8,word_ko,text,YES,null
study_vocabularies,9,word_tl,text,YES,null
study_vocabularies,13,example_en,text,YES,null
study_vocabularies,14,example_ko,text,YES,null
study_vocabularies,15,example_tl,text,YES,null
study_vocabularies,19,phonetic_en,text,YES,null
study_vocabularies,20,phonetic_ko,text,YES,null
study_vocabularies,21,phonetic_tl,text,YES,null
study_vocabularies,26,image_source,character varying,YES,'manual'::character varying
study_vocabularies,28,tts_audio_url,text,YES,null
study_vocabularies,29,created_at,timestamp with time zone,YES,now()
user_streaks,1,id,uuid,NO,gen_random_uuid()
user_streaks,2,user_id,uuid,YES,null
user_streaks,3,couple_id,character varying,YES,null
user_streaks,4,current_streak,integer,YES,0
user_streaks,5,last_study_date,character varying,YES,null
user_streaks,6,freeze_count,integer,YES,1
user_streaks,7,last_freeze_used_at,timestamp with time zone,YES,null
user_streaks,8,user1_completed_today,boolean,YES,false
user_streaks,9,user2_completed_today,boolean,YES,false
user_streaks,10,created_at,timestamp with time zone,YES,now()
user_streaks,11,updated_at,timestamp with time zone,YES,now()
user_studied_words,1,id,uuid,NO,gen_random_uuid()
user_studied_words,2,user_id,uuid,NO,null
user_studied_words,3,concept_id,uuid,YES,null
user_studied_words,4,srs_stage,integer,YES,1
user_studied_words,5,next_review_at,timestamp with time zone,YES,(now() + '1 day'::interval)
user_studied_words,6,last_reviewed_at,timestamp with time zone,YES,now()
user_studied_words,7,review_count,integer,YES,0
user_studied_words,8,wrong_count,integer,YES,0
user_studied_words,9,created_at,timestamp with time zone,YES,now()
user_studied_words,10,updated_at,timestamp with time zone,YES,now()
users,1,id,uuid,NO,null
users,2,email,text,NO,null
users,3,display_name,text,YES,null
users,4,avatar_url,text,YES,null
users,5,native_lang,character varying,NO,'ko'::character varying
users,6,target_lang,character varying,NO,'en'::character varying
users,7,push_token,text,YES,null
users,8,xp,integer,YES,0
users,9,created_at,timestamp with time zone,NO,now()
users,10,updated_at,timestamp with time zone,YES,now()
users,11,current_couple_id,uuid,YES,null
